taskId;name;startTime;maxSearchTime;type;videoNumber;startFrame;endFrame;text1;text2;text3;trecvidId;avsText
1;KIS Textual 1;2018-2-4 11:14:56;420;KIS_Textual;35758;899;1497;A student films his classmates in a lecture hall. An Asian girl jumps in front of the camera. Another classmate hides behind the door.;A student films his classmates in a lecture hall. An Asian girl jumps in front of the camera. Another classmate hides behind the door. A blackboard is visible, and then a handrail on the left and a fire extinguisher on the right.;A student films his classmates in a lecture hall. An Asian girl jumps in front of the camera. Another classmate hides behind the door. A blackboard is visible, and then a handrail on the left and a fire extinguisher on the right. At first we see a man in a dark pullover, the Asian girl wears a pink vest over a black T-shirt.;
2;KIS Textual 11;2018-2-4 11:22:51;420;KIS_Textual;38224;5619;6217;A shot with many food packages and then juice bottles and a glass with ice cubes.;A shot with many food packages and then juice bottles and a glass with ice cubes. In the first shot, rice flakes are poured into the hand from a packet.;A shot with many food packages and then juice bottles and a glass with ice cubes. In the first shot, rice flakes are poured into the hand from a packet. In the second shot, red juice is poured into the glass.;
3;KIS Textual 7;2018-2-4 11:30:34;420;KIS_Textual;39037;1860;2458;A truck carrying new cars out of a factory. A worker moving a steel plate into a press and operating it.;A truck carrying new cars out of a factory. A worker moving a steel plate into a press and operating it. First shot shows a concrete factory building, with windows on the right side and a few trees.;A truck carrying new cars out of a factory. A worker moving a steel plate into a press and operating it. First shot shows a concrete factory building, with windows on the right side and a few trees. The worker stands on the right, wearing a blue shirt and a cap.;
4;KIS Textual 3;2018-2-4 11:54:23;420;KIS_Textual;35845;1349;1947;Street view with palm trees. People in tribal costumes dance along the street holding hands.;Street view with palm trees. People in tribal costumes dance along the street holding hands. Dancers are first sitting on the floor, then each picks up the next one.;Street view with palm trees. People in tribal costumes dance along the street holding hands. Dancers are first sitting on the floor, then each picks up the next one. The camera follows a group of three dancers, theny they pick up a fourth one.;
5;KIS Textual 8;2018-2-4 12:08:00;420;KIS_Textual;38252;11329;11927;Shots of a silver toaster, a table with three glasses, and close-up of an electric can opener.;Shots of a silver toaster, a table with three glasses, and close-up of an electric can opener. Two breads being removed from the toaster and put into a drawer.;Shots of a silver toaster, a table with three glasses, and close-up of an electric can opener. Two breads being removed from the toaster and put into a drawer. Someone pouring juice from an orange container into the middle glass, greenish table cloth and a yellow napkin in front of a curtain.;
6;KIS Textual 10;2018-2-4 12:16:04;420;KIS_Textual;37928;5635;6233;A cartoon sailboat seen from front right, sails moving, then sails roll up and the boat is towed to an ice shell.;A cartoon sailboat seen from front right, sails moving, then sails roll up and the boat is towed to an ice shell. The ship has white sails, and the bow wave is shown.;A cartoon sailboat seen from front right, sails moving, then sails roll up and the boat is towed to an ice shell. The ship has white sails, and the bow wave is shown. There are some dark clouds in the upper left corner.;
7;KIS Textual 2;2018-2-4 12:24:23;420;KIS_Textual;36496;0;598;Dark close-up shots of turntables, view of a singer from below and side view of a guitar player.;Dark close-up shots of turntables, view of a singer from below and side view of a guitar player. Behind the guitar player there is a screen showing the singer.;Dark close-up shots of turntables, view of a singer from below and side view of a guitar player. Behind the guitar player there is a screen showing the singer. At first we see a man in a dark pullover, the Asian girl wears a pink vest over a black T-shirt.;
8;KIS Textual 6;2018-2-4 12:32:55;420;KIS_Textual;35652;2320;2618;Black/white shots of a large ship with the letters ARMAS on it going from left to right.;Black/white shots of a large ship with the letters ARMAS on it going from left to right. The background is just sea and sky.;Black/white shots of a large ship with the letters ARMAS on it going from left to right. The background is just sea and sky. The camera is slightly tilted, which makes the impression the ship goes "uphill".;
9;KIS Textual 5;2018-2-4 12:40:53;420;KIS_Textual;36729;4047;4594;Shots of a factory hall from above. Workers transporting gravel with wheelbarrows. Other workers putting steel bars in place.;Shots of a factory hall from above. Workers transporting gravel with wheelbarrows. Other workers putting steel bars in place. The hall has Cooperativa Agraria written in red letters on the roof. ;Shots of a factory hall from above. Workers transporting gravel with wheelbarrows. Other workers putting steel bars in place. The hall has Cooperativa Agraria written in red letters on the roof.  There are 1950s style American cars and trucks visible in one shot.;
10;KIS Textual 9;2018-2-4 12:48:46;420;KIS_Textual;39345;3417;4015;Indoor shots of a group of barefoot dancers in traditional costumes made of straw. In the right hand they have a rattle.;Indoor shots of a group of barefoot dancers in traditional costumes made of straw. In the right hand they have a rattle. Sequence starts with a closeup of the dancers' feet.;Indoor shots of a group of barefoot dancers in traditional costumes made of straw. In the right hand they have a rattle. Sequence starts with a closeup of the dancers' feet. An audience is standing around them.;
